Projeto,Votos,,,,,,,,,
,Fulana,,Beltrana,,Sicrana,,Fulano,,Beltrano,
,Pos,Justificativa,Pos,Justificativa,Pos,Justificativa,Pos,Justificativa,Pos,Justificativa
A Century of Portraits,6,"Problema interessante, elementos tanto de estilo quanto de técnica são úteis para resolvê-lo.",5,"O conceito de tratamento, reconhecimento, classificação de imagens/faces associadas a características biométricas e de estilo/comportamentais é bem interessante. Possibilidade de aprofundar conhecimento em processamento de imagem.",8,,9,Tema com menor relevância,6,Achei o tema de reconhecimento de featrues faciais interessante. Bastante utilizado 
BigQuery-Geotab Intersection Congestion,4,"Problema complexo e com aplicações em logística, urbanismo e poluição ambiental.",10,tema com menor relevância em minha opinião,9,,4,"Embora a aplicação seja diferente, este tema engloba o processamento de dados de GPS que tem aplicação para roteirização de equipes, por exemplo, no setor elétrico.",7,Tema com menor relevância
Fake News Classification,2,"Tema em voga, análogo a Deep Fake.",3,Tema interessante e atual considerando o volume de fake news diariamente gerados e propagados no país e no mundo. Habilidades de processamento de linguagem natural poderão ser desenvolvidas.,1,"Tema bastante atual, retrata um problema muito sério que estamos vivenciando hoje em dia.",2,"O tema de fake news está cada vez mais presente no nosso cotidiano. A empresa que trabalho sofreu com isso no ano passado, então poderia ter muito aproveitamento esse aprendizado",3,Tema extremamente relevante atualmente. Envolve NLP e tem muitas aplicações.
Microsoft Malware Prediction,9,Tema que é menos interessante.,8,tema com menor relevância em minha opinião,7,,7,Tema com menor relevância,9,Tema com menor relevância
OpenMIC 2018,7,Problema de menor relevância em um assunto que me é caro. Minha experiência com computação musical poderá ser útil.,9,tema com menor relevância em minha opinião,10,"Um problema interessante, porém com baixa utilidade.",10,Tema com menor relevância,10,Tema com menor relevância
Painter by Numbers,5,"Problema interessante, pode ter aplicações em recomendação.",6,Escopo interessante considerando a possibilidade da aplicação de aprendizado de máquina em conjunto com processamento de imagens+classificação.,3,Um problema muito interessante por envolver processamento de imagens e metric learning.,8,Tema com menor relevância,8,Tema com menor relevância
Retinal OCT Images,8,"Problema de grande relevância, mas com base de dados pequena e cujas imagens eu, como leigo, tenho dificuldade de interpretar e, portanto, ter ideias para engenharia de características.",4,A possibilidade de trabalhar com processamento e classificações de imagens médicas é um desafio interessante e atual considerando novas tendências como a telemedicina por exemplo.,2,"Um projeto de alta relevância para o setor de saúde, que envolve processameto de imagens.",6,"Tema interessante, por mais que não seja o setor em que trabalho, seria muito legal fazer um trabalho com esse tema",5,"Já trabalhei com conceitos de biologia/anatomia e acho muito interessante! Seria legal fazer esse tema também, apesar de que gostaria de explorar as outras áreas.  "
Santander Customer Satisfaction,10,"Satisfação medida de maneira binária e com características opacas, não interepretáveis (""características numéricas anonimizadas"") não me parece uma abordagem interessante, embora o assunto certamente tenha relevância. Base de dados relativamente pequena também.",1,"O conceito de métrica para satisfação e engajamento associadas ao ciclo de vida de um produto é bem interessante para minha atividade profissional atual. Embora o produto não seja o mesmo, o conceito poderá ser aproveitado",4,,1,"Satisfação do cliente é um tema que o setor elétrico no qual trabalho está dando muita importância e ainda não é tão desenvolvido como setor de varejo, por exemplo. Acredito que vou poder utilizar e replicar este aprendizado no meu trabalhp",1,Tema interessante e util! Satisfação do cliente é uma área requisitada e teria aplicações práticas no meu trabalho. 
Web Traffic Time Series Forecasting,1,Previsão de séries de temporais é algo interessante e relativamente pouco abordado no curso. Minha bagagem de computação musical e processamento digital de sinais pode ajudar.,2,A análise de séries temporais tem aplicação em predição de vendas futuras. As habilidades desenvolvidas neste projeto podem me ajudar em minha atividade profissional.,6,,3,"Vejo que na área de Ciência de Dados os problemas de time series possuem várias aplicações, portanto seria interessante aprofundar mais esse conhecimento",2,Predição de vendas futuras e analise de time series são temas relevantes em ciencias de dados e pouco abordado em aula. 
Wikipedia Promotional Articles,3,"Problema com algumas características comuns ao fake news, embora mais sutil.",7,Tema interessante para desenvolvimento de habilidades em processamento de linguagem natural e classificação multi-rótulo. Posteriormente poderá ser aplicado em diferentes conceitos para análise de produtos e tendências.,5,"Tema interessante envolvendo NLP, parece interessante e muito útil.",5,"NLP possui uma vasta aplicação na área de atendimento, seria muito interessante fazer esse tema",4,Tema de propaganda é interessante e tem várias aplicações! Gostaria de trabalhar com NLP e classificação multi rótulo.